@RELATION EOS_NEOS
@ATTRIBUTE class   {EOS,NEOS}
@ATTRIBUTE R1islower   {1,0}
@ATTRIBUTE L1isTitle   {1,0}
@ATTRIBUTE L1isAbbrevs   {1,0}
@ATTRIBUTE L1isInternal   {1,0}
@ATTRIBUTE L1isTimeterm   {1,0}
@ATTRIBUTE L1isUnlikely   {1,0}
@ATTRIBUTE Comma   {1,0}
@ATTRIBUTE Period   {1,0}
@ATTRIBUTE L1isUpper   {1,0}
@ATTRIBUTE R1isUpper   {1,0}
@ATTRIBUTE L1isNum   {1,0}
@ATTRIBUTE L1R1isQuestionMarkExclamation   {1,0}
@ATTRIBUTE L1P   {1,0}
@ATTRIBUTE R1P   {1,0}
@ATTRIBUTE R1isCommaPeriod   {1,0}
@ATTRIBUTE L1Length   NUMERIC
@ATTRIBUTE R1Length   NUMERIC
@ATTRIBUTE Llength   NUMERIC
@ATTRIBUTE Rlength   NUMERIC
@ATTRIBUTE Nspace   NUMERIC
@DATA
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,151,251,2
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,7,4,63,132,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,30,25,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,29,57,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,9,1,80,1,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,11,3,77,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,27,0,0
NEOS,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5,5,48,1
NEOS,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,2,5,79,14,1
NEOS,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,3,4,32,7,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,7,3,18,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,27,25,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,40,6,2
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,8,4,259,84,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,9,29,121,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,12,3,42,0,0
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,4,8,9,20,2
EOS,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,2,3,12,0,0
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,7,3,14,117,2
EOS,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,3,25,0,0
EOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3,3,340,104,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,5,3,132,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,67,21,1
NEOS,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,3,7,74,72,1
EOS,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,4,3,27,0,0
NEOS,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,2,7,133,65,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,3,68,88,2
EOS,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,4,5,61,95,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,45,37,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,3,3,17,0,0
EOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,6,3,37,47,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,2,117,65,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,5,92,108,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,13,3,117,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,8,2,18,6,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,86,205,2
EOS,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,4,5,32,122,3
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,55,24,2
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,4,19,101,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,6,179,71,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,8,3,343,0,0
EOS,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,8,8,147,19,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,3,3,14,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,10,3,41,0,0
EOS,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,7,3,127,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,3,46,159,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,7,3,68,0,0
EOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,8,13,12,67,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,6,3,37,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,9,3,205,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,46,115,2
EOS,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,4,2,38,72,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,14,3,53,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,2,66,53,2
NEOS,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,3,1,458,183,0
EOS,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,3,4,7,2
EOS,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,6,2,23,38,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,7,3,149,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,7,27,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,5,3,36,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,20,18,2
NEOS,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,2,5,1,45,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,19,118,1
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,5,4,40,8,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,5,3,71,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,3,59,36,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,7,13,9,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,7,28,25,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,29,119,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,4,42,7,1
EOS,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,6,1,90,29,2
EOS,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,3,2,9,17,2
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,4,8,26,111,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,2,56,11,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,3,39,2
EOS,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,6,4,5,9,2
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,7,3,29,119,2
EOS,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,3,3,30,0,0
NEOS,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,4,3,27,28,1
NEOS,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,2,4,16,15,1
EOS,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,7,3,68,0,0
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,8,4,64,19,1
EOS,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,8,2,10,5,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,6,3,26,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,39,4,2
EOS,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,2,8,38,62,3
EOS,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,7,4,64,17,1
NEOS,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,2,8,18,96,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,4,3,36,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,14,3,50,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,92,0,0
EOS,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,3,3,93,0,0
EOS,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,3,3,58,204,2
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,2,31,9,2
NEOS,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,7,18,4,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,6,3,72,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,69,26,1
EOS,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,7,4,6,35,2
EOS,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,220,196,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,5,3,61,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,9,3,9,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,44,54,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,72,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,18,38,2
EOS,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,5,3,29,0,0
NEOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,6,32,19,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,473,26,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,8,14,192,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,4,42,65,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,15,5,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,25,119,2
EOS,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,4,4,163,26,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,113,61,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,3,77,104,2
NEOS,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,8,191,62,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,30,84,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,28,20,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,2,49,118,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,8,0,0
EOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,7,2,2,15,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,9,2,3,16,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,3,134,136,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,5,3,111,0,0
NEOS,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,3,4,52,2,1
NEOS,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,10,14,53,1
NEOS,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,7,21,12,1
EOS,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,3,6,15,82,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,4,3,4,0,0
EOS,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,4,1,45,29,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,3,2,7,50,1
NEOS,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,2,7,7,49,1
EOS,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,5,3,3,0,0
EOS,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,9,3,69,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,28,5,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,10,3,140,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,67,0,0
EOS,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,3,31,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,2,208,75,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,7,3,29,0,0
NEOS,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,3,87,111,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,4,65,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,7,3,17,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,3,27,93,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,8,3,154,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,4,136,41,2
EOS,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,4,3,30,0,0
EOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,6,2,22,384,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,8,211,32,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,28,0,0
NEOS,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,41,26,1
NEOS,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,4,38,3,1
EOS,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,3,2,33,21,2
NEOS,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,3,5,30,7,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,7,22,1
NEOS,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,2,6,1,33,2
EOS,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,4,4,56,81,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,9,1,206,377,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,8,29,10,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,48,11,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,8,3,341,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,4,77,134,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,2,138,97,1
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,7,34,55,2
EOS,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,2,5,16,23,2
EOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,7,4,172,120,1
EOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,4,50,71,1
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,7,3,42,16,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,3,2,47,21,2
NEOS,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,2,44,106,0
NEOS,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,3,1,82,12,0
EOS,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,4,4,84,81,2
EOS,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,2,2,9,23,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,12,16,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,23,14,2
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,5,4,179,261,2
EOS,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,2,3,58,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,8,3,15,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,2,269,35,2
EOS,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,4,3,19,45,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,271,8,1
EOS,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,2,2,19,3,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,258,65,2
EOS,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,7,3,41,0,0
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,3,8,22,1
NEOS,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,3,6,6,50,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,32,100,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,3,22,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,48,25,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,3,32,2
EOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,8,3,41,48,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,46,68,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,127,339,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,2,33,66,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,34,0,0
NEOS,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,7,1,15,17,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,122,54,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,50,44,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,65,61,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,23,14,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,6,2,10,19,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,16,67,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,45,47,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,54,88,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,4,3,51,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,6,3,36,0,0
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,3,51,24,1
EOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,5,2,22,89,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,141,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,26,34,1
EOS,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,2,3,34,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,22,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,8,3,63,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,7,1,90,131,1
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,5,3,19,27,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,4,51,156,1
EOS,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,9,7,56,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,3,99,58,2
EOS,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,4,2,9,12,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,8,3,35,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,5,38,38,2
NEOS,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,3,1,27,51,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,15,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,3,3,82,0,0
EOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,5,3,26,29,1
EOS,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,6,3,77,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,8,12,18,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,26,6,2
EOS,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,17,10,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,9,3,20,0,0
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,6,3,37,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,913,268,2
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,2,37,23,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,2,47,27,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,7,1,32,43,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,203,66,1
NEOS,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,4,2,21,92,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,3,92,21,1
EOS,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,7,3,102,0,0
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,6,5,74,115,1
EOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,2,62,75,2
EOS,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,8,2,8,8,1
NEOS,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,218,72,1
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,4,8,24,77,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,3,37,131,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,43,20,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,2,18,142,3
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,5,2,63,14,1
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,7,11,108,14,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,11,3,71,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,2,131,83,2
EOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,6,5,23,162,2
NEOS,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,2,3,51,157,1
NEOS,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,2,1,32,10,0
